@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary {'Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 33\nSize of the tree: 65\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

iris,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,396,43,23,20,0,53.488372,46.511628,0,0.254766,0.121087,0.296201,81.635464,109.505284,90.810055,11851.73161,-11760.921555,2.111862,275.621665,-273.509804,18.556951,0.431557,847.155915,0,0,0.02381,1,0.97619,41,1,1,0,0,0,0.345238,0.534884,0.262746,0.737254,0.465116,0.462558,0.534884,0.494048,0.641853,0.011,0,0.005398,0.000095,26541,26035,4502,'Number of leaves: 37\nSize of the tree: 73\n',73,37,37
iris,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,29,15,0,65.909091,34.090909,0,0.439728,0.09992,0.249158,67.104616,91.712572,93.685537,11834.888421,-11741.202885,2.129217,268.974737,-266.84552,32.618385,0.741327,1490.245141,0,0,0,0,1,43,1,1,0,0,0,0.27907,0.659091,0.205336,0.794664,0.340909,0.573864,0.659091,0.612299,0.726173,0.035,0,0.00574,0.000083,29746,25974,4563,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42
iris,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,28,16,0,63.636364,36.363636,0,0.36,0.108885,0.257475,73.17408,94.846053,92.896933,4354.964599,-4262.067666,2.111294,98.976468,-96.865174,25.390947,0.577067,1159.017349,0,0,0,0,1,43,1,1,0,0,0,0.906977,0.636364,0.289025,0.710975,0.363636,0.535924,0.636364,0.564624,0.684515,0.005,0,0.004855,0.000085,22054,25974,4563,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30
iris,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,22,22,0,50,50,0,0.20915,0.124379,0.29381,83.58646,108.230887,92.896933,9719.383027,-9626.486094,2.111294,220.895069,-218.783775,21.254776,0.483063,970.21408,0,0,0,0,1,43,1,1,0,0,0,0.732558,0.5,0.25083,0.74917,0.5,0.454691,0.5,0.475295,0.659048,0.009,0,0.005265,0.000083,25900,25974,4563,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
iris,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,24,20,0,54.545455,45.454545,0,0.282804,0.119198,0.290505,79.009537,105.371423,96.106288,15064.007018,-14967.90073,2.184234,342.363796,-340.179562,22.606794,0.513791,1035.680211,0,0,0,0,1,43,1,1,0,0,0,0.232558,0.545455,0.26172,0.73828,0.454545,0.462542,0.545455,0.498454,0.600325,0.005,0,0.005012,0.000085,28464,25974,4563,'Number of leaves: 40\nSize of the tree: 79\n',79,40,40
iris,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,22,22,0,50,50,0,0.220612,0.123127,0.290823,82.227277,106.374016,96.850302,12922.935233,-12826.084931,2.201143,293.703073,-291.50193,21.24386,0.482815,974.092651,1,1,0,0,1,43,0,0,1,1,1,1,0.5,0.241804,0.758196,0.5,0.452797,0.5,0.474954,0.693319,0.005,0,0.004846,0.000086,25900,25974,4563,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
iris,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,32,12,0,72.727273,27.272727,0,0.534802,0.088982,0.225747,59.7384,83.063871,94.433198,6475.119924,-6380.686726,2.146209,147.161816,-145.015607,37.126584,0.843786,1697.540759,0.5,1,0,0,1,42,0.5,1,1,0.5,0.666667,0.678571,0.727273,0.207665,0.792335,0.272727,0.627321,0.727273,0.661017,0.775793,0.005,0.001,0.004926,0.000084,30387,25974,4563,'Number of leaves: 43\nSize of the tree: 85\n',85,43,43
iris,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,26,18,0,59.090909,40.909091,0,0.34,0.114343,0.278908,76.764509,102.624541,94.433198,13986.892516,-13892.459317,2.146209,317.883921,-315.737712,22.361047,0.508206,1022.415359,0,0,0.02381,1,0.97619,41,1,2,0,0,0,0.357143,0.590909,0.214739,0.785261,0.409091,0.515993,0.590909,0.55,0.702732,0.005,0,0.00484,0.000088,29746,25974,4563,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42
iris,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,28,16,0,63.636364,36.363636,0,0.420576,0.106518,0.259708,71.439529,95.450727,95.764369,9699.13157,-9603.367201,2.176463,220.434808,-218.258345,30.622376,0.695963,1402.378651,0,0,0.02381,1,0.97619,41,1,2,0,0,0,0.625,0.636364,0.169423,0.830577,0.363636,0.563387,0.636364,0.597186,0.750053,0.005,0,0.005203,0.000089,29746,25974,4563,'Number of leaves: 42\nSize of the tree: 83\n',83,42,42
iris,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20110916.2205,395,44,28,16,0,63.636364,36.363636,0,0.416252,0.102824,0.261823,68.962001,96.227998,95.764369,8627.454664,-8531.690294,2.176463,196.078515,-193.902052,33.587946,0.763362,1538.189557,0,0,0,0,1,43,1,1,0,0,0,0.395349,0.636364,0.188184,0.811816,0.363636,0.546037,0.636364,0.586496,0.767506,0.006,0.001,0.005241,0.00009,32310,25974,4563,'Number of leaves: 46\nSize of the tree: 91\n',91,46,46
