@RELATION iris
@ATTRIBUTE Cena	REAL
@ATTRIBUTE Size REAL
@ATTRIBUTE Place {Stanovanje,Hiša}
@ATTRIBUTE Lokacija {CELJE,KAMNIK,KOPER,KRANJ,LJUBLJANA,MARIBOR,PTUJ,TRBOVLJE,VELENJE}
@DATA
68000,33.00,Stanovanje,KAMNIK
123000,61.00,Stanovanje,LJUBLJANA
70000,56.85,Stanovanje,MARIBOR
119000,81.50,Stanovanje,KRANJ
151120,63.00,Stanovanje,MARIBOR
87000,83.35,Stanovanje,VELENJE
95000,50.65,Stanovanje,MARIBOR
97000,30.00,Stanovanje,LJUBLJANA
188000,60.00,Stanovanje,LJUBLJANA
85900,69.60,Stanovanje,MARIBOR
69500,69.30,Stanovanje,MARIBOR
235000,93.00,Stanovanje,LJUBLJANA
159800,60.50,Stanovanje,LJUBLJANA
85000,65.29,Stanovanje,MARIBOR
85000,34.00,Stanovanje,LJUBLJANA
137000,105.00,Stanovanje,KAMNIK
138000,51.02,Stanovanje,LJUBLJANA
60000,76.59,Stanovanje,MARIBOR
260000,75.00,Stanovanje,LJUBLJANA
89900,65.65,Stanovanje,MARIBOR
95000,35.00,Stanovanje,LJUBLJANA
95000,82.76,Stanovanje,VELENJE
153420,66.15,Stanovanje,LJUBLJANA
79000,77.00,Stanovanje,MARIBOR
73000,35.00,Stanovanje,KAMNIK
233037,104.57,Stanovanje,KRANJ
131500,58.30,Stanovanje,LJUBLJANA
87500,54.00,Stanovanje,KAMNIK
180000,71.00,Stanovanje,LJUBLJANA
120000,27.00,Stanovanje,LJUBLJANA
229000,97.32,Stanovanje,LJUBLJANA
256653,49.17,Stanovanje,LJUBLJANA
135000,71.00,Stanovanje,KRANJ
105000,32.00,Stanovanje,KOPER
88000,88.00,Stanovanje,MARIBOR
139900,112.00,Stanovanje,MARIBOR
94000,75.00,Stanovanje,MARIBOR
98000,28.00,Stanovanje,LJUBLJANA
330000,200.00,Stanovanje,KOPER
100000,45.00,Stanovanje,LJUBLJANA
254800,90.00,Stanovanje,LJUBLJANA
120000,35.00,Stanovanje,LJUBLJANA
59500,54.00,Stanovanje,MARIBOR
133000,58.13,Stanovanje,KOPER
96000,66.00,Stanovanje,CELJE
129000,88.00,Stanovanje,LJUBLJANA
112000,41.00,Stanovanje,KOPER
55000,20.00,Stanovanje,KOPER
246250,150.94,Stanovanje,LJUBLJANA
97000,30.00,Stanovanje,LJUBLJANA
250000,57.00,Stanovanje,LJUBLJANA
52500,42.34,Stanovanje,MARIBOR
98000,83.00,Stanovanje,MARIBOR
120809,69.00,Stanovanje,MARIBOR
230000,64.00,Stanovanje,LJUBLJANA
169000,102.00,Stanovanje,LJUBLJANA
140000,52.05,Stanovanje,KOPER
145000,63.00,Stanovanje,LJUBLJANA
245000,86.06,Stanovanje,LJUBLJANA
213472,96.99,Stanovanje,KRANJ
170000,76.43,Stanovanje,LJUBLJANA
55000,22.00,Stanovanje,LJUBLJANA
700000,292.00,Stanovanje,LJUBLJANA
95000,59.99,Stanovanje,MARIBOR
87000,28.00,Stanovanje,LJUBLJANA
125000,53.88,Stanovanje,LJUBLJANA
130000,75.00,Stanovanje,KAMNIK
199900,76.70,Stanovanje,LJUBLJANA
58000,37.00,Stanovanje,MARIBOR
397000,80.00,Stanovanje,LJUBLJANA
448666,115.14,Stanovanje,LJUBLJANA
255000,210.23,Stanovanje,LJUBLJANA
32900,26.33,Stanovanje,MARIBOR
74000,30.00,Stanovanje,KAMNIK
70000,57.09,Stanovanje,CELJE
159800,60.50,Stanovanje,LJUBLJANA
138000,56.00,Stanovanje,LJUBLJANA
174500,31.90,Stanovanje,LJUBLJANA
78000,63.35,Stanovanje,MARIBOR
120000,61.00,Stanovanje,LJUBLJANA
84000,64.00,Stanovanje,MARIBOR
84000,93.06,Stanovanje,TRBOVLJE
64900,55.00,Stanovanje,MARIBOR
125400,90.42,Stanovanje,MARIBOR
152005,33.71,Stanovanje,LJUBLJANA
317000,79.25,Stanovanje,LJUBLJANA
123000,69.00,Stanovanje,LJUBLJANA
95000,41.93,Stanovanje,LJUBLJANA
185000,85.00,Stanovanje,KAMNIK
161625,102.22,Stanovanje,CELJE
32000,32.90,Stanovanje,TRBOVLJE
145000,55.00,Stanovanje,LJUBLJANA
140000,58.36,Stanovanje,LJUBLJANA
260000,80.00,Stanovanje,LJUBLJANA
150000,80.00,Stanovanje,LJUBLJANA
320000,108.00,Stanovanje,LJUBLJANA
98000,66.92,Stanovanje,MARIBOR
130000,61.00,Stanovanje,LJUBLJANA
107500,82.72,Stanovanje,MARIBOR
80000,54.00,Stanovanje,MARIBOR
390557,84.85,Stanovanje,LJUBLJANA
179000,84.00,Stanovanje,LJUBLJANA
128973,54.24,Stanovanje,KRANJ
225000,147.00,Stanovanje,KAMNIK
69000,42.00,Stanovanje,KRANJ
360000,140.00,Stanovanje,LJUBLJANA
238000,72.00,Stanovanje,LJUBLJANA
195000,69.00,Stanovanje,LJUBLJANA
147000,102.00,Stanovanje,MARIBOR
105000,33.70,Stanovanje,LJUBLJANA
67000,51.00,Stanovanje,MARIBOR
112000,98.18,Stanovanje,MARIBOR
140000,95.00,Stanovanje,KAMNIK
170000,79.00,Stanovanje,KAMNIK
73000,61.00,Stanovanje,MARIBOR
110000,32.00,Stanovanje,LJUBLJANA
176000,62.28,Stanovanje,LJUBLJANA
97000,41.63,Stanovanje,LJUBLJANA
184897,86.05,Stanovanje,KRANJ
120000,75.00,Stanovanje,KAMNIK
257000,78.00,Stanovanje,LJUBLJANA
69900,65.00,Stanovanje,PTUJ
248300,127.08,Stanovanje,LJUBLJANA
130250,54.24,Stanovanje,KRANJ
90000,30.00,Stanovanje,LJUBLJANA
370000,156.20,Stanovanje,MARIBOR
164000,52.00,Stanovanje,LJUBLJANA
118000,39.00,Stanovanje,LJUBLJANA
530284,102.60,Stanovanje,LJUBLJANA
100000,62.00,Stanovanje,LJUBLJANA
215000,81.21,Stanovanje,LJUBLJANA
95000,43.77,Stanovanje,LJUBLJANA
96000,32.00,Stanovanje,LJUBLJANA
45000,45.00,Stanovanje,PTUJ
95000,41.00,Stanovanje,LJUBLJANA
95000,88.71,Stanovanje,MARIBOR
61900,61.01,Stanovanje,MARIBOR
115000,91.00,Stanovanje,MARIBOR
178450,83.30,Stanovanje,LJUBLJANA
119000,58.00,Stanovanje,LJUBLJANA
499999,144.00,Stanovanje,LJUBLJANA
120465,51.24,Stanovanje,KRANJ
350000,115.00,Stanovanje,LJUBLJANA
108000,58.90,Stanovanje,LJUBLJANA
95000,63.00,Stanovanje,LJUBLJANA
